Dutchess,4,GE101,HISTORY COUSRE,HIST,901L,HISTORY COURSE
Dutchess,9,103,3D DESIGN,ART,201N,3D DESIGN
Dutchess,9,210,ART STUDIO ELEC,ART,800N,ART STUDIO ELEC
Dutchess,38,255,PSYCHOLOGY COURSE,PSYC,901L,PSYCHOLOGY COURSE
Dutchess,41,180,COLL WRITING II,ENG,117L,COLL WRITING II
Dutchess,ACC,1,ACCOUNTING ELECT,ACCT,800N,ACCOUNTING ELECTIVE
Dutchess,ACC,4,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ACC,100,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ACC,101,PRINC ACCOUNTING I,ACCT,801N,ACCOUNTING ELECTIVE
Dutchess,ACC,101,ACCOUNTING I,ACCT,801N,ACCOUNTING ELECTIVE
Dutchess,ACC,102,PRINC ACCOUNTING II,ACCT,802N,ACCOUNTING ELECT
Dutchess,ACC,102,ACCOUNTING II,ACCT,802N,ACCOUNTING ELECT
Dutchess,ACC,104,FINANCIAL ACCTNG,ACCT,203N,FINANCIAL ACCTNG
Dutchess,ACC,105,ACCOUNTING ELECTIVE,ACCT,800N,ACCOUNTING ELECTIVE
Dutchess,ACC,106,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ACC,110,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ACC,113,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ACC,194,FINANCIAL ACCTNG,ACCT,203N,FINANCIAL ACCTNG
Dutchess,ACC,201,MANAGERIAL ACCTNG,ACCT,204N,MANAGERIAL ACCTNG
Dutchess,ACC,204,MANAGERIAL ACCTNG,ACCT,204N,MANAGERIAL ACCTNG
Dutchess,ACC,205,COMPUTER ACCT APPL,ACCT,802N,ACCOUNTING ELECT
Dutchess,ACC,205,COMPUTER ACCT APPL,ACCT,802N,ACCOUNTING ELECT
Dutchess,ACC,211,ACCOUNTING ELECTIVE,ACCT,801N,ACCOUNTING ELECTIVE
Dutchess,ACC,213,ACCOUNTING SYSTEMS,ACCT,801N,ACCOUNTING ELECTIVE
Dutchess,ACC,213,ACCOUNTING SYSTEMS,ACCT,350N,ACCTING SYSTEMS
Dutchess,ACC,213,ACCOUNTING SYSTEMS,ACCT,802N,ACCOUNTING ELECT
Dutchess,ACC,213,ACCOUNTING SYSTEMS,ACCT,801N,ACCOUNTING ELECTIVE
Dutchess,ACC,213,ACCOUNTING SYSTEMS,ACCT,802N,ACCOUNTING ELECT
Dutchess,ACC,213,ACCOUNTING SYSTEMS,ACCT,350N,ACCTING SYSTEMS
Dutchess,ACC,220,ACCT COURSE,ACCT,901N,ACCT COURSE
Dutchess,ACC,221,INTERM ACCTING I,ACCT,301N,INTERM ACCTING I
Dutchess,ACC,221,INTERM ACCTING I,ACCT,301N,INTERM ACCTING I
Dutchess,ACC,221,INTERM ACCTING I,ACCT,301N,INTERM ACCTING I
Dutchess,ACC,221,INTERM ACCTING I,ACCT,301N,INTERM ACCTING I
Dutchess,ACC,221L,INTERM ACCTG I,ACCT,301N,INTERM ACCTING I
Dutchess,ACC,241,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ACC,260,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ACC,271,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ACC,272,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ACC,273,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,AHS,101,GENERAL ELECTIVE,ELEC,801L,GENERAL ELECTIVE
Dutchess,ANT,102,ANTHROPOLOGY II,ANTH,102L,ANTHROPOLOGY II
Dutchess,ARC,100,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,101,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,103,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,104,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,105,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,106,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,107,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,108,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,109,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,110,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,113,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,122,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,123,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,203,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,205,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,206,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,207,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,208,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,210,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,211,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,214,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,216,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,271,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,272,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ARC,273,NON-TRANSFERABLE COURSE,REG,800L,NON-TRANSFERABLE COURSE
Dutchess,ART,100,ART STUDIO ELECT,ART,803N,ART STUDIO ELECT
Dutchess,ART,101,HIST WEST ART I,ART,160L,HIST WEST ART I
Dutchess,ART,102,ART 20TH CENT,ART,366L,ART 20TH CENT
Dutchess,ART,103,ART 100 LEV GEN,ART,901L,ART 100 LEV GEN
Dutchess,ART,104,FUND OF ART,ART,111N,BASIC PAINTING
Dutchess,ART,104,FUND OF ART,ART,125L,ARTS - VALUES
Dutchess,ART,104,BASIC PAINTING,ART,111N,BASIC PAINTING
Dutchess,ART,104,BASIC PAINTING,ART,125L,ARTS - VALUES
Dutchess,ART,105,BASIC PHOTO,ART,145N,BASIC PHOTO
Dutchess,ART,106,ART STUDIO ELECT,ART,801N,ART STUDIO ELECT
Dutchess,ART,107,BASIC SCULPTURE,ART,105N,BASIC SCULPTURE
Dutchess,ART,110,FUND ART-DESIGN,ART,101N,FUND ART-DESIGN
Dutchess,ART,111,FUND ART DES II,ART,201N,FUND ART DES II
Dutchess,ART,112,BASIC DRAWING,ART,110N,BASIC DRAWING
Dutchess,ART,113,INTERM DRAWING,ART,203N,INTERM DRAWING
Dutchess,ART,120,BASIC PAINTING,ART,111N,BASIC PAINTING
Dutchess,ART,121,INTERM PAINTING,ART,202N,INTERM PAINTING
Dutchess,ART,122,ART COURSE,ART,900N,ART COURSE
Dutchess,ART,123,ADV DRAWING I,ART,310N,ADV DRAWING I
Dutchess,ART,130,BASIC PRINTMAKING,ART,207N,BASIC PRINTMAKING
